,movieName,movieType,movieReleaseDate,movieDuration,movieRating,movieDescription
0,The Avengers,Action,2020-05-22,02:30:00,8.5,Earth's mightiest heroes team up to save the world.
1,Titanic,Romance,1997-12-19,03:15:00,7.8,A tragic love story set aboard the RMS Titanic.
2,Inception,Sci-Fi,2010-07-16,02:28:00,8.8,A thief enters people's dreams to steal information.
3,The Lion King,Animation,1994-06-24,01:29:00,8.5,A young lion prince must reclaim his throne.
4,The Dark Knight,Action,2008-07-18,02:32:00,9.0,Batman faces off against the Joker.
5,Frozen,Animation,2013-11-27,01:42:00,7.5,A fearless princess sets off on a journey to find her estranged sister.
6,Jurassic Park,Adventure,1993-06-11,02:07:00,8.1,Scientists create a theme park with genetically engineered dinosaurs.
7,Avatar,Sci-Fi,2009-12-18,02:42:00,7.8,A paralyzed marine is sent to the planet Pandora on a unique mission.
8,Finding Nemo,Animation,2003-05-30,01:40:00,8.1,A clownfish embarks on a journey to find his son.
9,Pulp Fiction,Crime,1994-10-14,02:34:00,8.9,Interconnected stories of criminals in Los Angeles.
10,The Shawshank Redemption,Drama,1994-09-23,02:22:00,9.3,"Two imprisoned men bond over several years, finding solace and redemption through acts of common decency."
11,Interstellar,Sci-Fi,2014-11-07,02:49:00,8.6,A group of explorers travel through a wormhole in space.
12,The Godfather,Crime,1972-03-24,02:55:00,9.2,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
13,The Matrix,Sci-Fi,1999-03-31,02:16:00,8.7,A computer hacker learns about the true nature of his reality.
14,Forrest Gump,Drama,1994-07-06,02:22:00,8.8,A simple man experiences firsthand some of the key events of the latter half of the 20th century.
15,The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001-12-19,02:58:00,8.8,A hobbit sets out on a journey to destroy a powerful ring.
16,Toy Story,Animation,1995-11-22,01:21:00,8.3,Toys come to life when humans are not present.
17,Inglourious Basterds,War,2009-08-21,02:33:00,8.3,A group of Jewish U.S. soldiers plan to assassinate Nazi leaders in World War II.
18,The Avengers: Endgame,Action,2019-04-26,03:01:00,8.4,The Avengers assemble for one final showdown against Thanos.
19,The Social Network,Drama,2010-10-01,02:00:00,7.7,The story of the creation of Facebook.
20,The Silence of the Lambs,Thriller,1991-02-14,01:58:00,8.6,An FBI trainee seeks the help of a manipulative cannibal killer.
